pcd_id,object_id,object_label,n_gt_rects,stratum,a_correct,a_bucket,b_correct,b_bucket,c_repeats_correct,c_buckets
0129,6,green pen,3,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0130,6,green pen,4,diagonal,1,correct,1,correct,0,both|both|both|both|both
0131,6,green pen,3,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0132,6,green pen,3,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0133,7,sunglasses,4,axis-aligned,0,iou_only,1,correct,0,both|both|both|both|both
0134,7,sunglasses,8,axis-aligned,1,correct,0,both,0,both|both|both|both|both
0135,7,sunglasses,4,axis-aligned,0,iou_only,1,correct,1,iou_only|both|iou_only|correct|iou_only
0136,7,sunglasses,2,diagonal,0,iou_only,1,correct,0,both|iou_only|both|both|both
0137,8,rectangular box,4,axis-aligned,1,correct,1,correct,0,iou_only|iou_only|iou_only|iou_only|both
0138,8,rectangular box,5,axis-aligned,1,correct,1,correct,1,iou_only|iou_only|iou_only|correct|iou_only
0139,8,rectangular box,4,axis-aligned,0,iou_only,0,iou_only,0,both|both|both|both|both
0140,8,rectangular box,4,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0176,22,toothbrush,5,axis-aligned,1,correct,0,iou_only,0,both|both|both|angle_only|both
0177,23,toothbrush,6,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0178,23,toothbrush,5,axis-aligned,0,both,1,correct,0,iou_only|both|both|both|both
0179,23,toothbrush,6,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0180,23,toothbrush,5,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0181,23,toothbrush,5,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0182,23,toothbrush,4,axis-aligned,0,angle_only,1,correct,0,both|iou_only|both|iou_only|both
0183,23,toothbrush,4,diagonal,0,both,1,correct,0,both|both|both|both|both
0184,23,toothbrush,4,axis-aligned,0,both,1,correct,0,iou_only|iou_only|iou_only|iou_only|both
0193,26,object 26 (label uncertain),3,axis-aligned,1,correct,0,both,0,both|both|both|both|both
0194,26,object 26 (label uncertain),3,axis-aligned,0,iou_only,0,both,0,both|both|both|angle_only|both
0195,26,object 26 (label uncertain),3,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0196,26,object 26 (label uncertain),3,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0199,28,digital camera,4,axis-aligned,0,angle_only,1,correct,0,both|both|both|both|both
0213,35,toothbrush,5,axis-aligned,1,correct,1,correct,0,both|both|angle_only|both|both
0214,35,toothbrush,5,axis-aligned,1,correct,0,iou_only,0,both|both|both|both|both
0215,35,toothbrush,7,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0216,35,toothbrush,6,axis-aligned,0,both,0,iou_only,0,iou_only|both|both|both|both
0284,50,object 50 (label uncertain),4,axis-aligned,0,no_prediction,1,correct,0,both|both|both|both|both
0285,50,object 50 (label uncertain),5,diagonal,0,angle_only,1,correct,0,angle_only|both|both|both|angle_only
0286,50,object 50 (label uncertain),4,axis-aligned,0,no_prediction,0,iou_only,0,iou_only|iou_only|both|iou_only|iou_only
0287,50,object 50 (label uncertain),4,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0299,55,rectangular device,3,diagonal,0,angle_only,1,correct,0,both|both|both|both|both
0300,56,object 56 (label uncertain),3,axis-aligned,1,correct,1,correct,1,correct|both|both|both|iou_only
0301,56,object 56 (label uncertain),3,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0302,56,object 56 (label uncertain),3,axis-aligned,1,correct,1,correct,0,both|both|angle_only|both|both
0303,56,object 56 (label uncertain),4,axis-aligned,1,correct,1,correct,1,both|correct|both|both|both
0304,56,object 56 (label uncertain),3,diagonal,1,correct,1,correct,1,correct|iou_only|both|both|both
0305,56,object 56 (label uncertain),3,diagonal,0,angle_only,1,correct,0,both|angle_only|both|iou_only|angle_only
0306,56,object 56 (label uncertain),3,axis-aligned,1,correct,1,correct,0,both|both|both|both|both
0307,56,object 56 (label uncertain),4,axis-aligned,1,correct,1,correct,0,iou_only|both|iou_only|both|iou_only
0308,56,object 56 (label uncertain),4,axis-aligned,0,no_prediction,1,correct,0,angle_only|angle_only|both|both|both
0309,57,metal bolt,4,axis-aligned,1,correct,1,correct,0,iou_only|iou_only|both|iou_only|iou_only
0310,57,metal bolt,4,axis-aligned,0,iou_only,0,iou_only,0,both|both|both|both|both
0311,57,metal bolt,4,axis-aligned,1,correct,0,iou_only,1,correct|iou_only|iou_only|both|both
0316,59,plastic cup,10,axis-aligned,0,angle_only,0,angle_only,0,both|both|both|iou_only|both
0324,62,black bowl,13,axis-aligned,0,iou_only,0,both,0,angle_only|both|iou_only|angle_only|both
0347,70,mug,11,axis-aligned,0,both,0,both,0,both|no_prediction|angle_only|both|both
0348,70,mug,10,axis-aligned,0,both,0,angle_only,0,both|iou_only|angle_only|iou_only|angle_only
0349,70,mug,7,axis-aligned,1,correct,1,correct,2,iou_only|correct|both|correct|both
0350,70,mug,4,axis-aligned,0,iou_only,0,both,1,both|both|iou_only|correct|iou_only
0351,71,calculator,4,axis-aligned,1,correct,1,correct,4,correct|correct|correct|both|correct
0352,71,calculator,4,diagonal,0,angle_only,1,correct,0,both|angle_only|angle_only|angle_only|both
0517,107,computer mouse,4,axis-aligned,1,correct,1,correct,0,both|angle_only|both|both|both
